Year,State,Industry Sector Category,AvgCent_kWh
6/9/2021,AK,Full-Service Providers,23.89
6/9/2021,AL,Full-Service Providers,12.81
6/9/2021,AR,Full-Service Providers,10.49
6/9/2021,AZ,Full-Service Providers,12.91
6/9/2021,CA,Full-Service Providers,19.70
6/9/2021,CO,Full-Service Providers,12.48
6/9/2021,CT,Full-Service Providers,21.73
6/9/2021,DC,Full-Service Providers,12.44
6/9/2021,DE,Full-Service Providers,12.58
6/9/2021,FL,Full-Service Providers,11.99
6/9/2021,GA,Full-Service Providers,12.06
6/9/2021,HI,Full-Service Providers,32.66
6/9/2021,IA,Full-Service Providers,12.46
6/9/2021,ID,Full-Service Providers,10.49
6/9/2021,IL,Full-Service Providers,12.96
6/9/2021,IN,Full-Service Providers,13.18
6/9/2021,KS,Full-Service Providers,12.99
6/9/2021,KY,Full-Service Providers,11.37
6/9/2021,LA,Full-Service Providers,10.38
6/9/2021,MA,Full-Service Providers,21.36
6/9/2021,MD,Full-Service Providers,13.12
6/9/2021,ME,Full-Service Providers,18.03
6/9/2021,MI,Full-Service Providers,16.04
6/9/2021,MN,Full-Service Providers,13.44
6/9/2021,MO,Full-Service Providers,11.34
6/9/2021,MS,Full-Service Providers,11.53
6/9/2021,MT,Full-Service Providers,11.39
6/9/2021,NC,Full-Service Providers,11.69
6/9/2021,ND,Full-Service Providers,10.62
6/9/2021,NE,Full-Service Providers,11.02
6/9/2021,NH,Full-Service Providers,20.01
6/9/2021,NJ,Full-Service Providers,15.95
6/9/2021,NM,Full-Service Providers,12.69
6/9/2021,NV,Full-Service Providers,12.22
6/9/2021,NY,Full-Service Providers,17.59
6/9/2021,OH,Full-Service Providers,12.36
6/9/2021,OK,Full-Service Providers,10.42
6/9/2021,OR,Full-Service Providers,11.33
6/9/2021,PA,Full-Service Providers,13.27
6/9/2021,RI,Full-Service Providers,21.66
6/9/2021,SC,Full-Service Providers,13.26
6/9/2021,SD,Full-Service Providers,11.74
6/9/2021,TN,Full-Service Providers,10.99
6/9/2021,TX,Full-Service Providers,11.91
6/9/2021,UT,Full-Service Providers,10.55
6/9/2021,VA,Full-Service Providers,12.21
6/9/2021,VT,Full-Service Providers,17.94
6/9/2021,WA,Full-Service Providers,9.84
6/9/2021,WI,Full-Service Providers,14.27
6/9/2021,WV,Full-Service Providers,11.36
6/9/2021,WY,Full-Service Providers,11.27
1/13/2020,AK,Full-Service Providers,22.92
1/20/2020,AL,Full-Service Providers,12.53
1/27/2020,AR,Full-Service Providers,9.80
2/3/2020,AZ,Full-Service Providers,12.43
2/10/2020,CA,Full-Service Providers,18.70
2/17/2020,CO,Full-Service Providers,12.18
2/24/2020,CT,Full-Service Providers,21.44
3/2/2020,DC,Full-Service Providers,12.17
3/9/2020,DE,Full-Service Providers,12.42
3/16/2020,FL,Full-Service Providers,11.70
3/23/2020,GA,Full-Service Providers,11.76
3/30/2020,HI,Full-Service Providers,32.06
4/6/2020,IA,Full-Service Providers,12.46
4/13/2020,ID,Full-Service Providers,9.89
4/20/2020,IL,Full-Service Providers,12.66
4/27/2020,IN,Full-Service Providers,12.58
5/4/2020,KS,Full-Service Providers,12.71
5/11/2020,KY,Full-Service Providers,10.80
5/18/2020,LA,Full-Service Providers,9.80
5/25/2020,MA,Full-Service Providers,20.76
6/1/2020,MD,Full-Service Providers,12.72
6/8/2020,ME,Full-Service Providers,17.60
6/15/2020,MI,Full-Service Providers,15.74
6/22/2020,MN,Full-Service Providers,13.04
6/29/2020,MO,Full-Service Providers,11.14
7/6/2020,MS,Full-Service Providers,11.27
7/13/2020,MT,Full-Service Providers,11.13
7/20/2020,NC,Full-Service Providers,11.42
7/27/2020,ND,Full-Service Providers,10.30
8/3/2020,NE,Full-Service Providers,10.77
8/10/2020,NH,Full-Service Providers,19.63
8/17/2020,NJ,Full-Service Providers,15.68
8/24/2020,NM,Full-Service Providers,12.51
8/31/2020,NV,Full-Service Providers,12.00
9/7/2020,NY,Full-Service Providers,17.40
9/14/2020,OH,Full-Service Providers,12.19
9/21/2020,OK,Full-Service Providers,10.21
9/28/2020,OR,Full-Service Providers,11.01
10/5/2020,PA,Full-Service Providers,13.07
10/12/2020,RI,Full-Service Providers,21.45
10/19/2020,SC,Full-Service Providers,12.99
10/26/2020,SD,Full-Service Providers,11.55
11/2/2020,TN,Full-Service Providers,10.87
11/9/2020,TX,Full-Service Providers,11.76
11/16/2020,UT,Full-Service Providers,10.40
11/23/2020,VA,Full-Service Providers,12.07
11/30/2020,VT,Full-Service Providers,17.71
12/7/2020,WA,Full-Service Providers,9.71
12/14/2020,WI,Full-Service Providers,14.18
12/21/2020,WV,Full-Service Providers,11.25
12/28/2020,WY,Full-Service Providers,11.18
1/14/2019,AK,Full-Service Providers,21.94
1/21/2019,AL,Full-Service Providers,12.18
1/28/2019,AR,Full-Service Providers,9.81
2/4/2019,AZ,Full-Service Providers,12.77
2/11/2019,CA,Full-Service Providers,18.55
2/18/2019,CO,Full-Service Providers,12.15
