Date,State,Industry Sector Category,Residential
1/14/2019,AK,Total Electric Industry,22.92
1/21/2019,AL,Total Electric Industry,12.53
1/28/2019,AR,Total Electric Industry,9.80
2/4/2019,AZ,Total Electric Industry,12.43
2/11/2019,CA,Total Electric Industry,19.15
2/18/2019,CO,Total Electric Industry,12.18
2/25/2019,CT,Total Electric Industry,21.87
3/4/2019,DC,Total Electric Industry,12.98
3/11/2019,DE,Total Electric Industry,12.55
3/18/2019,FL,Total Electric Industry,11.70
3/25/2019,GA,Total Electric Industry,11.76
4/1/2019,HI,Total Electric Industry,32.06
4/8/2019,IA,Total Electric Industry,12.46
4/15/2019,ID,Total Electric Industry,9.89
4/22/2019,IL,Total Electric Industry,13.03
4/29/2019,IN,Total Electric Industry,12.58
5/6/2019,KS,Total Electric Industry,12.71
5/13/2019,KY,Total Electric Industry,10.80
5/20/2019,LA,Total Electric Industry,9.80
5/27/2019,MA,Total Electric Industry,21.92
6/3/2019,MD,Total Electric Industry,13.12
6/10/2019,ME,Total Electric Industry,17.89
6/17/2019,MI,Total Electric Industry,15.74
6/24/2019,MN,Total Electric Industry,13.04
7/1/2019,MO,Total Electric Industry,11.14
7/8/2019,MS,Total Electric Industry,11.27
7/15/2019,MT,Total Electric Industry,11.13
7/22/2019,NC,Total Electric Industry,11.42
7/29/2019,ND,Total Electric Industry,10.30
8/5/2019,NE,Total Electric Industry,10.77
8/12/2019,NH,Total Electric Industry,20.05
8/19/2019,NJ,Total Electric Industry,15.85
8/26/2019,NM,Total Electric Industry,12.51
9/2/2019,NV,Total Electric Industry,12.00
9/9/2019,NY,Total Electric Industry,17.94
9/16/2019,OH,Total Electric Industry,12.38
9/23/2019,OK,Total Electric Industry,10.21
9/30/2019,OR,Total Electric Industry,11.01
10/7/2019,PA,Total Electric Industry,13.80
10/14/2019,RI,Total Electric Industry,21.73
10/21/2019,SC,Total Electric Industry,12.99
10/28/2019,SD,Total Electric Industry,11.55
11/4/2019,TN,Total Electric Industry,10.87
11/11/2019,TX,Total Electric Industry,11.76
11/18/2019,UT,Total Electric Industry,10.40
11/25/2019,VA,Total Electric Industry,12.07
12/2/2019,VT,Total Electric Industry,17.71
12/9/2019,WA,Total Electric Industry,9.71
12/16/2019,WI,Total Electric Industry,14.18
12/23/2019,WV,Total Electric Industry,11.25
2019,WY,Total Electric Industry,11.18
2019,US,Total Electric Industry,13.01
1/7/2019,AK,Full-Service Providers,22.92
1/14/2019,AL,Full-Service Providers,12.53
1/21/2019,AR,Full-Service Providers,9.80
1/28/2019,AZ,Full-Service Providers,12.43
2/4/2019,CA,Full-Service Providers,18.70
2/11/2019,CO,Full-Service Providers,12.18
2/18/2019,CT,Full-Service Providers,21.44
2/25/2019,DC,Full-Service Providers,12.17
3/4/2019,DE,Full-Service Providers,12.42
3/11/2019,FL,Full-Service Providers,11.70
3/18/2019,GA,Full-Service Providers,11.76
3/25/2019,HI,Full-Service Providers,32.06
4/1/2019,IA,Full-Service Providers,12.46
4/8/2019,ID,Full-Service Providers,9.89
4/15/2019,IL,Full-Service Providers,12.66
4/22/2019,IN,Full-Service Providers,12.58
4/29/2019,KS,Full-Service Providers,12.71
5/6/2019,KY,Full-Service Providers,10.80
5/13/2019,LA,Full-Service Providers,9.80
5/20/2019,MA,Full-Service Providers,20.76
5/27/2019,MD,Full-Service Providers,12.72
6/3/2019,ME,Full-Service Providers,17.60
6/10/2019,MI,Full-Service Providers,15.74
6/17/2019,MN,Full-Service Providers,13.04
6/24/2019,MO,Full-Service Providers,11.14
7/1/2019,MS,Full-Service Providers,11.27
7/8/2019,MT,Full-Service Providers,11.13
7/15/2019,NC,Full-Service Providers,11.42
7/22/2019,ND,Full-Service Providers,10.30
7/29/2019,NE,Full-Service Providers,10.77
8/5/2019,NH,Full-Service Providers,19.63
8/12/2019,NJ,Full-Service Providers,15.68
8/19/2019,NM,Full-Service Providers,12.51
8/26/2019,NV,Full-Service Providers,12.00
9/2/2019,NY,Full-Service Providers,17.40
9/9/2019,OH,Full-Service Providers,12.19
9/16/2019,OK,Full-Service Providers,10.21
9/23/2019,OR,Full-Service Providers,11.01
9/30/2019,PA,Full-Service Providers,13.07
10/7/2019,RI,Full-Service Providers,21.45
10/14/2019,SC,Full-Service Providers,12.99
10/21/2019,SD,Full-Service Providers,11.55
10/28/2019,TN,Full-Service Providers,10.87
11/4/2019,TX,Full-Service Providers,11.76
11/11/2019,UT,Full-Service Providers,10.40
11/18/2019,VA,Full-Service Providers,12.07
11/25/2019,VT,Full-Service Providers,17.71
12/2/2019,WA,Full-Service Providers,9.71
12/9/2019,WI,Full-Service Providers,14.18
12/16/2019,WV,Full-Service Providers,11.25
12/23/2019,WY,Full-Service Providers,11.18
2019,CA,Restructured Retail Service Providers,20.87
2019,CT,Restructured Retail Service Providers,23.16
2019,DC,Restructured Retail Service Providers,15.68
2019,DE,Restructured Retail Service Providers,14.59
2019,IL,Restructured Retail Service Providers,13.69
2019,MA,Restructured Retail Service Providers,23.71
2019,MD,Restructured Retail Service Providers,14.92
2019,ME,Restructured Retail Service Providers,20.15
2019,MI,Restructured Retail Service Providers,15.95
2019,MT,Restructured Retail Service Providers,11.43
2019,NH,Restructured Retail Service Providers,22.04
